,price,retail_price,units_sold,uses_ad_boosts,rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,merchant_rating_count,merchant_rating,merchant_has_profile_picture,tag_quality,tag_count,title_localised,com_same_name,subtitle_rating,discount_rate,merch_pop_proc,color__Blue,color__Pink,color__RED,color__Rose red,color__applegreen,color__apricot,color__army,color__army green,color__beige,color__black,color__black & blue,color__black & stripe,color__black & yellow,color__blackwhite,color__blue,color__blue & pink,color__blue & white,color__blue blue,color__brown,color__brown & yellow,color__burgundy,color__camel,color__claret,color__coolblack,color__coralred,color__darkgreen,color__denimblue,color__dual,color__dustypink,color__gold,color__gray & white,color__green,color__grey,color__greysnakeskinprint,color__ivory,color__jasper,color__lakeblue,color__light green,color__lightgray,color__lightgreen,color__lightgrey,color__lightpurple,color__lightred,color__lightyellow,color__mintgreen,color__nude,color__offblack,color__offwhite,color__orange,color__orange & other,color__other,color__otherprint,color__pink,color__pink & black,color__pink & blue,color__pink & grey,color__pink & white,color__prussianblue,color__purple,color__rainbow,color__red,color__red & blue,color__red & yellow,color__redgold,color__silver,color__star,color__tan,color__violet,color__watermelonred,color__white,color__white & black,color__white & red,color__whiteother,color__whitestripe,color__wine,color__wine red,color__yellow,size__M,size__OTHER,size__S,size__XL,size__XS,size__XXL,size__XXS,size__XXXS,size__XXXXL,size__XXXXXL,country__CN,country__GB,country__SG,country__US,country__VE
0,16.0,14,100,0,3.76,0.48148148148148145,0.14814814814814814,0.18518518518518517,0.018518518518518517,0.16666666666666666,0,0,0,0,50,4,0,34,50,1.0,568,4.128521126760563,0,0.7,24,0,1,0,-0.14285714285714285,0.09507042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,8.0,22,20000,1,3.45,0.3698451507742461,0.167400162999185,0.18223308883455583,0.10497147514262428,0.17555012224938876,0,0,0,0,50,2,0,41,50,1.0,17752,3.8996732762505633,0,0.5,15,1,1,1,0.6363636363636364,0.3455948625506985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,8.0,43,100,0,3.57,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.0,0.21428571428571427,0,0,0,0,1,3,0,36,50,1.0,295,3.9898305084745758,0,0.3,19,1,1,1,0.813953488372093,0.04745762711864407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,8.0,8,5000,1,4.03,0.5094991364421416,0.20552677029360966,0.15025906735751296,0.07253886010362694,0.06217616580310881,0,0,0,0,50,2,0,41,50,,23832,4.020434709634105,0,0.6,18,1,1,0,0.0,0.024295065458207452,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2.72,3,100,1,3.1,0.3,0.2,0.1,0.1,0.3,0,0,0,0,1,1,0,35,50,1.0,14482,4.001588178428394,0,0.6,13,1,0,1,0.09333333333333327,0.0013810247203424942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,3.92,9,10,0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,40,50,,65,3.507692307692308,0,0.6,10,1,1,1,0.5644444444444444,0.015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,7.0,6,50000,0,3.84,0.4704835360427173,0.2005339661821418,0.14402254523880154,0.07267873034707802,0.11228122218926134,0,0,0,0,50,2,0,31,50,,10194,4.076515597410241,1,0.5,21,1,0,1,-0.16666666666666666,0.6613694329998038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,12.0,11,1000,0,3.76,0.4195804195804196,0.1958041958041958,0.21328671328671328,0.06293706293706294,0.10839160839160839,0,0,0,0,50,3,0,139,50,,342,3.681286549707602,0,0.4,16,1,1,0,-0.09090909090909091,0.8362573099415205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,11.0,84,100,1,3.47,0.4,0.13333333333333333,0.2,0.06666666666666667,0.2,0,0,0,0,50,2,0,36,50,1.0,330,3.803030303030303,0,0.6,14,1,1,1,0.8690476190476191,0.045454545454545456,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,5.78,22,5000,0,3.6,0.4177583697234352,0.18631732168850074,0.1339155749636099,0.09898107714701601,0.16302765647743814,0,0,0,0,50,2,0,33,50,,5534,3.999819298879653,0,0.8,18,1,1,1,0.7372727272727272,0.12414166967835201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10,5.79,5,1000,0,3.46,0.399673735725938,0.16476345840130505,0.13213703099510604,0.09951060358890701,0.2039151712887439,0,0,0,0,2,2,0,25,50,1.0,9470,3.9568109820485744,0,0.7,15,1,1,1,-0.158,0.06473072861668426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11,6.0,8,100,1,3.31,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0,0.23076923076923078,0,0,0,0,2,2,0,40,50,1.0,3515,3.983783783783784,0,0.8,19,1,1,1,0.25,0.003698435277382646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12,1.91,6,1000,1,3.45,0.3475177304964539,0.20567375886524822,0.1702127659574468,0.09929078014184398,0.1773049645390071,0,0,0,0,1,1,0,38,50,,557,4.123877917414721,0,0.3,8,1,1,0,0.6816666666666666,0.25314183123877915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13,5.79,42,1000,0,3.32,0.2975206611570248,0.19834710743801653,0.19008264462809918,0.15702479338842976,0.15702479338842976,0,0,0,0,50,2,0,43,50,,5083,3.9474719653747785,0,0.8,25,1,1,1,0.8621428571428572,0.023804839661617155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14,2.0,2,20000,1,3.65,0.4004884004884005,0.19576719576719576,0.18681318681318682,0.08384208384208384,0.1330891330891331,0,0,0,0,1,1,0,36,50,,55499,4.138885385322259,0,0.7,15,1,1,0,0.0,0.04427106794717022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15,11.0,81,1000,0,3.92,0.4788732394366197,0.22065727699530516,0.14553990610328638,0.04929577464788732,0.1056338028169014,0,0,0,0,50,3,0,41,50,,39381,4.0663264010563465,0,0.5,18,1,0,1,0.8641975308641975,0.010817399253447093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,11.0,10,10000,0,3.72,0.40816326530612246,0.21137026239067055,0.18756073858114675,0.07677356656948493,0.11613216715257532,0,0,0,0,50,2,0,34,50,,6302,3.9584258965407813,0,0.7,19,1,1,0,-0.1,0.32656299587432563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,5.0,25,100000,1,3.83,0.4610678531701891,0.19371523915461625,0.16412680756395995,0.07842046718576196,0.10266963292547275,0,0,0,0,50,1,0,41,50,1.0,139223,3.933581376640354,0,0.4,11,1,1,1,0.8,0.1291453279989657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,9.0,9,20000,0,3.82,0.4482569812009491,0.21208249680598648,0.15568534404088338,0.07866398977915678,0.10531118817302428,0,0,0,0,50,3,0,43,50,,22089,4.081624337905745,0,0.7,16,1,1,1,0.0,0.24804201186110733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,7.0,7,1000,0,3.67,0.40654205607476634,0.16822429906542055,0.22897196261682243,0.0794392523364486,0.11682242990654206,0,0,0,0,7,2,0,41,50,1.0,3592,4.062360801781737,0,0.6,16,1,1,1,0.0,0.05957683741648107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20,11.0,10,5000,0,3.84,0.42772612003381233,0.231614539306847,0.18258664412510567,0.06846999154691462,0.08960270498732037,0,0,0,0,50,3,0,69,50,,23609,4.256597060443052,0,0.4,12,1,0,1,-0.1,0.050108009657334064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
